391,48.0
782,31.03
1173,48.1
1564,56.13
1955,52.96
2346,62.18
2737,63.01
3128,64.64
3519,68.83
3910,68.79
4301,73.36
4692,71.26
5083,74.92
5474,74.63
5865,75.53
6256,78.17
6647,77.14
7038,75.6
7429,78.38
7820,79.78
8211,79.74
8602,80.3
8993,78.62
9384,80.93
9775,80.8
10166,80.35
10557,80.02
10948,81.88
11339,81.3
11730,82.18
12121,79.21
12512,82.21
12903,81.92
13294,82.15
13685,82.52
14076,83.2
14467,82.64
14858,83.28
15249,83.31
15640,83.28
16031,82.66
16422,83.24
16813,82.06
17204,82.36
17595,81.77
17986,83.27
18377,84.14
18768,81.82
19159,83.01
19550,82.81
19941,84.08
20332,80.01
20723,83.72
21114,84.86
21505,82.86
21896,83.62
22287,84.54
22678,82.82
23069,84.48
23460,84.04
23851,82.76
24242,83.85
24633,84.14
25024,83.98
25415,84.67
25806,84.39
26197,83.55
26588,84.92
26979,84.39
27370,84.53
27761,83.87
28152,83.82
28543,83.78
28934,84.3
29325,83.69
29716,83.81
30107,84.32
30498,84.88
30889,84.06
31280,84.82
31671,85.1
32062,87.39
32453,88.77
32844,88.9
33235,88.43
33626,88.88
34017,89.04
34408,89.02
34799,88.88
35190,89.04
35581,89.22
35972,89.02
36363,89.17
36754,89.19
37145,89.5
37536,89.1
37927,89.23
38318,88.77
38709,89.22
39100,88.93
39491,89.05
39882,89.2
40273,89.02
40664,89.39
41055,89.15
41446,88.73
41837,89.23
42228,89.29
42619,89.31
43010,89.01
43401,89.22
43792,89.44
44183,89.47
44574,89.02
44965,89.32
45356,89.3
45747,89.02
46138,89.24
46529,88.83
46920,89.25
47311,89.34
47702,89.03
48093,89.57
48484,89.62
48875,89.63
49266,89.53
49657,89.67
50048,89.47
50439,89.62
50830,89.75
51221,89.64
51612,89.65
52003,89.62
52394,89.54
52785,89.58
53176,89.62
53567,89.69
53958,89.51
54349,89.56
54740,89.6
55131,89.61
55522,89.66
55913,89.84
56304,89.56
56695,89.65
57086,89.66
57477,89.56
57868,89.56
58259,89.64
58650,89.7
59041,89.59
59432,89.67
59823,89.65
60214,89.56
60605,89.51
60996,89.38
61387,89.54
61778,89.6
62169,89.51
62560,89.48
62951,89.62
63342,89.55
63733,89.56
64124,89.58
